id,distance-km,time-hr
1,94.17,1.59
2,143.55,1.95
3,311.38,3.44
4,184.25,2.46
5,123.71,1.62
6,217.57,2.63
7,163.58,2.21
8,164.40,1.86
9,68.44,0.99
10,40.24,0.81
11,236.56,2.95
12,320.58,3.65
13,128.03,2.05
14,174.96,2.08
15,309.21,3.57
16,306.99,3.55
17,329.37,3.78
18,66.05,1.02
19,167.55,1.89
20,188.84,2.24
21,186.19,2.27
22,224.61,3.05
23,120.76,1.62
24,77.49,1.21
25,200.75,2.46
26,226.30,2.71
27,123.08,1.86
28,99.13,1.47
29,335.08,3.85
30,91.67,1.58
31,139.29,2.05
32,146.62,2.02
33,267.94,3.56
34,22.02,0.43
35,108.37,1.43
36,192.82,2.55
37,320.28,3.64
38,205.37,2.49
39,269.16,3.55
40,156.38,2.48
41,213.56,3.03
42,194.40,2.40
43,208.43,2.56
44,330.44,3.81
45,144.13,1.73
46,188.24,2.20
47,279.86,3.24
48,215.65,3.45
49,39.35,0.60
50,245.57,3.30
51,32.72,0.57
52,196.88,2.59
53,222.72,3.02
54,282.96,3.36
55,294.93,3.39
56,108.08,1.67
57,178.09,2.25
58,70.32,1.08
59,319.39,3.48
60,15.16,0.39
61,168.78,2.23
62,104.01,1.69
63,127.52,2.05
64,122.30,1.56
65,189.37,2.23
66,74.28,1.09
67,175.47,2.20
68,154.57,1.96
69,199.79,2.42
70,107.92,1.47
71,258.40,3.03
72,225.47,2.61
73,176.39,2.00
74,96.51,1.71
75,228.37,2.82
76,76.06,1.12
77,77.73,1.18
78,232.89,3.30
79,294.76,3.65
80,192.94,3.10
81,87.18,1.36
82,67.67,1.10
83,161.98,2.33
84,129.50,1.63
85,67.83,1.05
86,95.09,1.23
87,90.86,1.67
88,170.84,2.30
89,43.68,0.75
90,205.39,2.47
91,103.39,1.41
92,87.36,1.47
93,172.11,2.39
94,39.31,0.74
95,316.47,3.60
96,143.75,2.30
97,167.91,2.64
98,234.43,3.22
99,288.85,3.81
100,188.57,2.65
101,124.31,1.51
102,247.69,3.07
103,266.51,3.34
104,173.49,1.96
105,112.30,1.73
106,82.33,1.14
107,62.92,1.15
108,63.66,0.90
109,67.63,0.99
110,130.29,1.98
111,134.57,2.12
112,220.45,2.72
113,51.14,0.85
114,89.46,1.18
115,156.74,2.46
116,192.15,2.63
117,165.38,2.86
118,243.41,3.29
119,218.81,3.17
120,174.01,2.37
121,233.29,2.99
122,86.85,1.44
123,142.54,1.79
124,49.71,0.81
125,204.90,2.75
126,303.06,3.60
127,77.66,1.41
128,NaN,NaN
129,81.91,1.29
130,110.80,1.87
131,111.83,1.90
132,314.67,3.72
133,148.47,2.32
134,138.40,1.72
135,63.55,0.91
136,49.28,0.92
137,25.33,0.44
138,286.77,3.29
139,91.74,1.09
140,100.56,1.45
141,128.34,2.05
142,128.32,1.66
143,35.96,0.55
144,130.82,2.12
145,92.13,1.36
146,129.50,1.87
147,140.78,1.59
148,78.27,1.36
149,88.81,1.28
150,135.09,1.71
151,68.62,1.17
152,84.34,1.14
153,113.69,1.86
154,102.03,1.58
155,176.08,1.95
156,289.77,3.42
157,106.44,1.64
158,106.92,1.53
159,122.75,1.88
160,137.18,2.01
161,174.42,2.83
162,231.22,2.94
163,96.90,1.53
164,247.83,3.00
165,124.02,2.12
166,171.81,1.91
167,241.47,3.37
168,142.10,1.82
169,223.36,2.89
170,155.17,2.11
171,146.89,1.98
172,321.21,3.67
173,134.12,2.33
174,286.59,3.32
175,74.01,1.09
176,227.69,3.12
177,110.63,1.62
178,185.23,2.45
179,106.66,1.63
180,312.57,3.60
181,93.28,1.60
182,272.50,3.18
183,232.55,2.75
184,316.35,3.65
185,106.03,1.70
186,194.42,2.69
187,201.71,2.72
188,100.25,1.48
189,46.48,0.69
190,45.54,0.84
191,203.13,2.68
192,124.75,1.79
193,212.82,2.73
194,146.43,2.16
195,210.29,2.54
196,260.20,3.62
197,123.11,2.21
198,55.24,0.76
199,104.89,1.44
200,319.35,3.64
201,162.12,2.21
202,211.09,3.02
203,182.84,2.47
204,77.56,1.01
205,33.28,0.54
206,171.94,2.35
207,267.85,3.60
208,113.72,1.60
209,92.71,1.60
210,317.92,3.66
211,184.04,2.54
212,136.23,1.84
213,213.69,2.68
214,131.07,1.64
215,132.77,1.86
216,129.70,1.56
217,80.02,1.35
218,195.19,2.53
219,112.35,1.92
220,92.23,1.59
221,202.28,2.49
222,116.03,1.55
223,90.04,1.21
224,98.38,1.28
225,167.60,2.21
226,117.61,1.68
227,80.33,1.27
228,79.66,1.20
229,149.48,1.92
230,290.35,3.47
231,84.34,1.25
232,162.86,2.19
233,109.40,1.44
234,282.48,3.27
235,184.10,2.53
236,216.88,3.13
237,224.52,2.84
238,343.10,4.10
239,92.03,1.30
240,281.85,3.89
241,291.20,3.58
242,143.66,2.08
243,271.16,3.48
244,300.62,3.51
245,35.26,0.61
246,138.36,2.01
247,233.86,3.15
248,250.44,3.02
249,160.10,2.10
250,108.47,1.60
251,200.33,2.84
252,144.10,1.99
253,94.95,1.44
254,143.04,2.20
255,104.28,1.50
256,109.78,1.35
257,217.59,2.81
258,241.71,3.24
259,85.77,1.20
260,161.49,2.39
261,180.84,1.94
262,62.36,0.96
263,109.04,1.79
264,185.42,2.44
265,115.87,2.01
266,78.46,1.16
267,94.29,1.35
268,29.55,0.51
269,161.41,2.14
270,55.13,0.98
271,253.72,3.23
272,201.81,3.28
273,192.25,2.70
274,232.62,3.02
275,281.06,3.85
276,239.55,3.23
277,207.16,2.63
278,118.25,1.47
279,251.19,3.33
280,22.59,0.36
281,204.91,2.61
282,191.10,2.14
283,250.68,3.33
284,256.58,3.31
285,91.56,1.34
286,124.30,1.90
287,100.49,1.26
288,41.83,0.60
289,77.36,1.22
290,182.01,1.99
291,32.15,0.51
292,161.28,1.87
293,133.56,1.72
294,88.60,1.32
295,200.10,2.84
296,85.75,1.43
297,162.75,2.50
298,156.65,1.92
299,293.58,3.41
300,74.76,1.11
301,165.43,2.10
302,245.54,3.54
303,167.29,1.73
304,162.43,2.34
305,203.82,2.90
306,112.68,1.53
307,224.72,3.28
308,239.60,2.91
309,80.76,1.12
310,214.21,3.09
311,197.23,2.75
312,117.11,2.03
313,36.23,0.66
314,137.36,2.01
315,153.82,2.28
316,113.44,1.69
317,235.02,3.20
318,199.25,2.65
319,113.40,1.69
320,120.80,2.04
321,316.11,3.69
322,302.27,3.61
323,53.95,0.82
324,114.86,1.69
325,124.21,1.75
326,48.24,1.05
327,137.36,2.07
328,185.63,2.43
329,181.73,2.44
330,314.79,3.67
331,193.67,2.67
332,78.39,0.99
333,147.00,2.07
334,159.01,2.27
335,218.55,3.63
336,127.90,1.64
337,222.72,3.02
338,88.12,1.35
339,77.61,1.19
340,127.80,1.76
341,170.16,2.33
342,209.40,2.65
343,210.78,2.81
344,51.82,0.71
345,42.23,0.73
346,167.98,2.15
347,217.73,2.98
348,184.30,1.97
349,231.14,2.93
350,130.90,2.17
351,111.28,1.78
352,158.35,2.09
353,93.84,1.30
354,177.39,2.28
355,147.34,1.82
356,210.23,2.70
357,93.78,1.16
358,165.68,2.20
359,197.68,2.58
360,226.21,3.58
361,37.02,0.63
362,161.95,2.23
363,151.53,2.21
364,168.05,2.43
365,188.27,2.78
366,122.86,1.81
367,138.15,1.52
368,123.17,1.93
369,179.72,2.32
370,287.95,3.50
371,70.57,1.07
372,232.94,2.89
373,115.53,1.52
374,154.51,2.28
375,134.18,2.06
376,161.67,1.65
377,186.21,2.47
378,222.58,2.91
379,125.06,1.87
380,133.52,1.62
381,51.65,0.69
382,105.86,1.78
383,134.01,2.30
384,173.49,1.83
385,96.71,1.33
386,122.09,1.73
387,181.09,2.89
388,27.31,0.48
389,177.46,2.44
390,47.38,0.76
391,46.28,0.81
392,135.03,1.90
393,199.91,2.78
394,17.59,0.35
395,237.96,3.22
396,115.50,1.30
397,209.27,2.80
398,184.15,2.38
399,256.45,3.57
400,109.50,1.59
401,249.16,3.35
402,134.23,2.10
403,18.17,0.31
404,252.32,3.49
405,208.56,2.72
406,230.61,3.20
407,180.44,2.37
408,110.85,1.42
409,183.29,2.40
410,191.74,2.51
411,136.86,1.50
412,100.39,1.59
413,267.34,3.73
414,147.02,1.76
415,75.72,0.94
416,45.55,0.78
417,219.66,2.53
418,100.63,1.51
419,147.89,1.95
420,120.89,1.71
421,127.01,2.09
422,178.24,2.42
423,199.29,2.65
424,120.95,1.88
425,140.22,2.26
426,180.82,2.98
427,78.57,1.23
428,188.42,2.67
429,111.47,1.55
430,115.48,1.46
431,246.35,3.26
432,153.97,2.08
433,206.02,2.89
434,71.43,1.22
435,269.10,3.31
436,16.60,0.27
437,128.90,1.76
438,127.08,1.95
439,90.32,1.31
440,215.64,2.95
441,236.41,3.18
442,186.21,2.49
443,54.30,0.96
444,96.51,1.54
445,162.40,2.08
446,290.75,4.06
447,164.78,2.42
448,165.98,1.70
449,231.67,2.73
450,133.81,1.46
451,154.82,2.21
452,182.11,2.60
453,99.09,1.46
454,213.14,2.80
455,175.33,2.47
456,143.53,1.84
457,134.08,2.23
458,120.01,1.83
459,91.68,1.29
460,179.91,2.52
461,58.20,0.88
462,205.76,2.82
463,207.61,2.82
464,47.06,0.83
465,231.43,3.16
466,179.97,2.45
467,95.74,1.42
468,280.17,3.93
469,183.01,2.03
470,118.33,1.72
471,192.91,2.55
472,86.97,1.45
473,209.38,2.71
474,142.83,2.08
475,131.98,1.42
476,277.23,3.72
477,104.91,1.22
478,298.74,3.94
479,104.15,1.43
480,214.68,2.94
481,67.75,1.17
482,62.92,0.87
483,68.99,1.16
484,19.70,0.37
485,118.29,1.64
486,63.38,1.07
487,234.23,2.73
488,128.25,1.94
489,102.92,1.75
490,128.06,2.11
491,42.02,0.74
492,102.19,1.73
493,278.34,3.59
494,192.67,2.57
495,176.72,1.87
496,144.61,1.52
497,194.26,2.58
498,205.71,2.79
499,79.49,1.02
500,34.17,0.54
501,136.65,1.56
502,286.33,3.68
503,134.69,1.99
504,43.88,0.62
505,125.65,1.70
506,183.90,2.57
507,166.63,2.37
508,86.28,1.33
509,145.75,1.96
510,147.34,2.16
511,70.42,1.03
512,135.80,1.77
513,135.39,1.58
514,252.69,3.15
515,92.46,1.40
516,223.24,2.75
517,141.89,2.41
518,114.04,1.66
519,24.84,0.46
520,177.07,2.46
521,222.45,2.99
522,13.22,0.25
523,39.10,0.74
524,212.69,2.80
525,254.36,3.42
526,100.86,1.68
527,111.20,1.93
528,224.15,3.02
529,123.86,1.90
530,259.30,3.58
531,60.52,0.90
532,129.98,2.10
533,220.63,2.75
534,165.31,2.18
535,247.97,2.99
536,244.71,3.21
537,214.99,2.82
538,90.05,1.52
539,159.15,2.18
540,200.58,2.80
541,272.92,3.34
542,180.17,2.66
543,202.33,2.72
544,240.53,3.25
545,95.13,1.47
546,111.06,1.62
547,147.70,2.19
548,238.18,3.23
549,62.06,1.14
550,41.38,0.67
551,152.41,2.27
552,255.35,3.20
553,22.09,0.34
554,84.70,1.20
555,74.00,1.26
556,184.10,2.56
557,120.87,1.85
558,194.91,3.11
559,93.06,1.37
560,114.96,1.51
561,191.58,2.48
562,193.29,3.08
563,173.69,2.30
564,140.69,2.17
565,251.29,3.05
566,211.55,2.98
567,130.21,1.85
568,154.44,1.87
569,233.87,2.93
570,217.47,2.86
571,211.27,2.94
572,126.11,1.89
573,125.12,1.67
574,120.18,1.76
575,127.04,1.46
576,58.65,0.99
577,180.65,2.50
578,171.08,2.36
579,240.59,2.89
580,255.13,3.54
581,243.87,3.11
582,225.29,3.04
583,90.80,1.22
584,59.10,1.08
585,123.21,1.80
586,101.20,1.55
587,230.18,3.11
588,120.93,1.68
589,130.82,1.86
590,41.56,0.68
591,120.19,1.96
592,192.31,2.66
593,196.16,2.75
594,174.67,1.82
595,208.41,2.91
596,224.42,3.08
597,194.74,2.28
598,246.51,3.00
599,224.37,3.01
600,201.22,2.27
601,213.97,2.89
602,195.93,3.12
603,230.13,3.77
604,231.72,3.30
605,231.46,2.76
606,227.66,2.71
607,252.07,3.52
