id,distance-km,time-hr
1,321.73,3.10
2,115.98,1.23
3,60.41,0.66
4,408.96,3.84
5,284.13,3.74
6,39.70,0.56
7,328.35,3.38
8,407.32,3.91
9,185.47,2.35
10,181.31,2.31
11,47.31,0.90
12,69.61,0.84
13,352.75,3.36
14,413.23,4.10
15,58.24,0.80
16,56.20,0.75
17,78.30,1.02
18,205.95,2.03
19,410.74,3.93
20,432.34,4.28
21,418.20,4.09
22,450.21,4.56
23,282.06,3.80
24,286.11,3.53
25,58.51,0.66
26,30.50,0.43
27,331.68,4.13
28,180.62,1.98
29,84.29,1.06
30,279.19,2.92
31,180.19,1.94
32,364.99,3.46
33,493.53,5.00
34,276.45,2.99
35,233.71,3.10
36,323.87,3.57
37,69.31,0.87
38,52.96,0.73
39,42.73,0.70
40,103.99,1.18
41,80.03,1.11
42,168.06,1.66
43,182.09,1.86
44,79.65,0.98
45,384.29,3.80
46,422.25,4.22
47,28.89,0.41
48,83.10,1.24
49,217.05,2.16
50,471.16,4.79
51,175.42,2.20
52,346.84,3.83
53,447.42,4.30
54,24.14,0.40
55,39.70,0.61
56,276.20,2.87
57,81.84,0.89
58,189.27,2.08
59,68.33,0.74
60,269.58,2.92
61,106.85,1.53
62,199.93,2.70
63,352.24,3.31
64,366.12,3.60
65,428.76,4.22
66,339.59,3.25
67,405.63,4.07
68,387.16,3.76
69,436.84,4.32
70,351.43,3.45
71,0,0
72,64.07,0.83
73,419.90,4.05
74,115.00,1.29
75,460.40,4.63
76,293.00,2.88
77,232.89,3.09
78,102.74,1.41
79,35.94,0.59
80,77.02,1.36
81,345.80,3.41
82,235.80,2.29
83,382.92,3.68
84,359.44,3.41
85,303.92,2.85
86,220.43,2.90
87,130.44,1.51
88,331.29,4.42
89,252.28,3.03
90,437.41,4.30
91,258.92,3.45
92,140.73,1.71
93,396.82,3.68
94,247.92,2.97
95,65.50,0.75
96,91.56,1.01
97,53.16,0.77
98,460.02,4.70
99,514.44,5.26
100,354.73,3.75
101,368.10,3.57
102,472.41,4.41
103,488.57,4.66
104,417.00,4.03
105,257.72,3.54
106,206.84,2.67
107,146.92,1.76
108,271.73,3.21
109,268.24,3.38
110,338.88,4.24
111,98.86,1.37
112,30.72,0.61
113,268.49,2.62
114,174.04,1.71
115,72.82,0.92
116,137.57,1.58
117,151.09,2.04
118,466.21,4.58
119,384.89,4.50
120,334.46,4.49
121,98.97,1.43
122,166.20,2.15
123,129.34,1.41
124,223.39,2.15
125,369.69,3.98
126,52.26,0.75
127,131.55,1.51
128,256.01,2.71
129,157.29,2.03
130,98.19,1.08
131,131.33,1.52
132,68.71,0.94
133,64.55,0.75
134,142.18,1.51
135,269.28,3.39
136,160.52,1.96
137,199.58,2.55
138,35.80,0.47
139,308.69,2.86
140,189.93,2.51
141,353.06,3.32
142,139.84,1.62
143,182.18,2.34
144,77.96,0.81
145,236.55,3.13
146,347.88,3.31
147,391.29,3.77
148,131.46,1.54
149,264.88,3.53
150,378.59,3.78
151,148.47,1.87
152,209.51,2.71
153,337.62,3.17
154,333.84,3.26
155,419.59,4.06
156,38.97,0.55
157,254.89,3.55
158,209.76,2.89
159,304.40,3.22
160,305.28,3.23
161,91.59,1.42
162,19.68,0.38
163,135.14,1.94
164,12.42,0.23
165,315.43,3.47
166,415.32,4.01
167,467.06,4.85
168,304.21,3.98
169,452.21,4.28
170,108.67,1.15
171,307.32,4.08
172,67.15,0.81
173,202.02,2.97
174,35.62,0.43
175,356.01,3.39
176,384.59,4.23
177,198.03,2.33
178,164.67,1.83
179,221.86,2.68
180,61.61,0.72
181,278.62,2.88
182,21.52,0.32
183,66.58,0.86
184,65.38,0.78
185,327.52,3.18
186,361.80,3.87
187,426.41,3.97
188,317.19,3.26
189,263.56,3.12
190,213.66,2.90
191,427.84,3.96
192,288.64,2.98
193,356.42,3.75
194,371.14,3.47
195,48.41,0.67
196,485.79,5.15
197,112.23,1.61
198,316.87,3.12
199,183.42,2.43
200,68.38,0.78
201,100.90,1.11
202,78.78,1.09
203,348.93,3.87
204,164.59,2.01
205,232.81,2.44
206,98.96,1.21
207,83.27,1.35
208,289.46,3.93
209,145.58,1.83
210,64.31,0.78
211,410.10,4.05
212,301.01,3.08
213,147.72,1.82
214,291.50,3.80
215,282.44,3.93
216,133.49,1.36
217,164.26,2.12
218,419.90,3.88
219,208.27,2.89
220,148.49,1.84
221,61.17,0.80
222,265.70,3.62
223,172.70,2.23
224,341.89,3.37
225,141.26,1.40
226,335.98,3.17
227,221.63,2.25
228,181.16,2.34
229,153.27,1.72
230,38.76,0.64
231,301.29,3.02
232,97.05,1.02
233,222.96,3.14
234,31.51,0.40
235,344.55,4.68
236,83.23,1.19
237,105.04,1.57
238,93.02,1.25
239,240.81,3.25
240,74.15,1.25
241,32.39,0.52
242,368.09,3.43
243,496.75,5.00
244,49.66,0.63
245,218.60,2.70
246,363.07,3.39
247,459.42,4.80
248,475.20,4.41
249,326.45,3.42
250,252.88,3.45
251,364.80,4.11
252,120.47,1.25
253,236.32,2.51
254,351.64,4.44
255,312.88,3.86
256,150.40,1.49
257,440.43,4.17
258,466.40,4.57
259,266.16,3.55
260,329.60,3.70
261,424.34,4.10
262,202.49,2.00
263,333.75,3.14
264,410.13,3.80
265,303.88,3.37
266,287.07,3.50
267,205.33,2.76
268,243.82,2.41
269,139.61,1.43
270,161.88,2.03
271,78.18,1.27
272,99.04,1.76
273,415.83,3.99
274,455.46,4.37
275,68.67,1.16
276,464.23,4.57
277,44.24,0.71
278,159.83,1.67
279,479.46,4.96
280,185.54,2.36
281,336.25,3.70
282,425.31,4.29
283,59.20,0.94
284,482.17,4.85
285,300.17,3.70
286,349.02,3.25
287,317.42,3.04
288,251.52,2.99
289,257.41,2.58
290,425.52,4.18
291,260.62,2.47
292,393.30,3.81
293,143.02,1.56
294,305.54,3.11
295,102.74,1.55
296,159.12,2.05
297,130.80,1.54
298,317.07,4.14
299,42.61,0.48
300,291.71,2.91
301,330.21,3.34
302,90.77,1.54
303,410.80,3.91
304,389.77,3.84
305,97.64,1.44
306,238.01,3.29
307,91.08,1.33
308,464.31,4.27
309,346.08,3.36
310,92.29,1.36
311,424.12,4.10
312,122.71,1.52
313,175.43,2.21
314,362.07,3.37
315,321.92,3.54
316,189.97,2.20
317,460.61,4.74
318,423.96,4.00
319,277.89,2.89
320,216.72,3.06
321,65.14,0.81
322,51.49,0.73
323,213.39,2.20
324,227.35,2.67
325,299.96,4.12
326,174.72,2.15
327,345.95,4.34
328,159.30,1.57
329,347.84,3.63
330,65.84,0.74
331,359.82,3.86
332,300.61,2.86
333,125.18,1.28
334,132.67,1.39
335,124.86,2.02
336,140.27,1.50
337,387.52,4.23
338,256.25,2.57
339,209.81,2.15
340,289.09,3.94
341,102.19,1.45
342,176.00,1.83
343,435.49,4.17
344,305.62,3.06
345,285.96,2.72
346,411.77,4.42
347,443.33,4.50
348,427.79,4.21
349,39.53,0.75
350,116.13,1.43
351,332.57,3.23
352,318.78,4.29
353,219.25,2.92
354,337.82,4.47
355,307.76,4.02
356,433.07,4.05
357,337.30,3.31
358,332.03,3.56
359,171.34,1.81
360,96.87,1.44
361,195.31,2.48
362,380.32,3.68
363,319.64,3.45
364,282.20,3.48
365,418.21,4.14
366,336.10,3.32
367,381.67,3.74
368,347.88,3.27
369,340.14,4.55
370,36.98,0.57
371,276.81,3.44
372,33.61,0.43
373,354.86,3.53
374,115.24,1.35
375,358.91,3.44
376,405.17,3.86
377,164.41,1.77
378,445.43,4.25
379,293.18,3.11
380,142.29,1.50
381,259.73,3.05
382,134.87,1.65
383,117.22,1.49
384,417.00,4.07
385,186.59,2.46
386,247.44,3.34
387,85.72,1.31
388,280.46,2.76
389,151.12,1.61
390,171.31,2.12
391,163.00,2.12
392,284.68,3.97
393,426.79,4.11
394,197.89,2.65
395,463.55,4.73
396,359.03,3.48
397,359.23,4.01
398,157.81,1.55
399,482.05,5.11
400,214.51,2.99
401,52.03,1.00
402,75.22,0.80
403,209.62,2.72
404,68.64,0.98
405,63.23,0.77
406,456.22,4.73
407,158.75,1.66
408,271.25,3.60
409,78.03,0.84
410,75.01,0.96
411,380.38,3.71
412,241.75,2.65
413,50.15,0.88
414,390.81,3.99
415,199.42,2.60
416,242.48,2.95
417,451.89,4.52
418,303.50,3.27
419,308.32,4.12
420,296.64,4.06
421,112.16,1.34
422,402.95,3.82
423,413.07,4.03
424,110.78,1.57
425,83.70,1.04
426,177.82,2.43
427,251.94,3.32
428,85.20,1.28
429,280.45,3.76
430,276.27,3.73
431,471.94,4.77
432,314.41,4.27
433,432.90,4.21
434,277.41,2.95
435,11.61,0.23
436,241.51,2.49
437,278.59,3.84
438,271.48,3.78
439,305.42,3.15
440,383.02,4.16
441,462.77,4.70
442,350.89,3.68
443,155.21,1.96
444,237.85,2.58
445,327.17,3.33
446,62.19,1.07
447,332.88,3.75
448,409.53,3.92
449,463.69,4.69
450,377.31,3.68
451,379.56,3.56
452,108.51,1.39
453,267.23,2.69
454,45.90,0.69
455,139.26,1.63
456,139.48,1.51
457,209.68,3.14
458,234.69,2.92
459,248.43,3.26
460,405.97,4.00
461,203.13,2.69
462,426.49,4.31
463,66.79,0.82
464,170.74,2.20
465,456.13,4.43
466,404.68,3.86
467,263.87,2.67
468,68.08,1.18
469,421.27,4.21
470,286.46,2.97
471,353.33,4.83
472,170.61,2.21
473,434.10,4.06
474,367.54,3.40
475,375.50,3.63
476,502.82,5.26
477,348.39,3.42
478,524.42,5.46
479,279.88,3.75
480,380.84,4.11
481,148.71,1.84
482,265.53,3.19
483,164.70,2.04
484,215.06,2.82
485,243.64,3.24
486,159.11,1.94
487,466.26,4.72
488,346.24,3.38
489,161.43,2.09
490,106.82,1.28
491,166.16,2.03
492,293.12,3.09
493,503.93,5.11
494,69.25,0.87
495,420.23,4.08
496,395.85,3.84
497,350.80,4.82
498,431.30,4.29
499,295.60,2.90
500,290.56,3.00
501,362.99,3.42
502,510.80,5.26
503,409.56,4.31
504,307.89,3.17
505,286.94,3.89
506,409.97,4.09
507,391.34,3.77
508,227.64,2.37
509,310.52,3.20
510,359.09,3.51
511,248.10,3.34
512,176.88,1.98
513,379.19,3.82
514,482.22,4.59
515,260.56,2.63
516,466.75,4.96
517,130.36,1.75
518,390.87,3.99
519,188.76,2.47
520,403.13,3.91
521,370.95,3.99
522,200.39,2.70
523,175.50,2.24
524,437.39,4.14
525,482.09,4.97
526,120.98,1.74
527,128.99,1.53
528,448.86,4.42
529,268.27,3.71
530,484.00,4.81
531,263.14,3.23
532,216.18,3.28
533,445.35,4.12
534,329.17,3.56
535,472.68,4.34
536,467.55,4.59
537,362.89,3.87
538,142.84,1.75
539,383.83,3.55
540,426.10,4.14
541,497.90,4.75
542,404.60,4.05
543,367.12,3.91
544,390.49,4.58
545,371.97,3.87
546,250.74,2.80
547,282.18,3.97
548,462.85,4.55
549,159.08,1.99
550,258.74,2.44
551,338.73,4.53
552,484.08,4.64
553,235.26,2.40
554,233.46,3.11
555,149.90,1.91
556,360.41,4.04
557,268.00,3.73
558,151.28,2.37
559,249.81,3.31
560,240.31,3.19
561,341.05,3.74
562,164.58,2.22
563,330.26,3.66
564,85.33,0.94
565,13.51,0.29
566,376.51,4.28
567,195.02,2.21
568,398.24,4.12
569,462.72,4.44
570,442.17,4.24
571,431.23,4.43
572,270.52,3.74
573,287.81,3.96
574,324.09,3.57
575,370.54,3.64
576,244.29,2.39
577,406.72,3.97
578,389.45,3.84
579,472.61,4.86
580,395.29,4.67
581,451.30,4.54
582,456.16,4.69
583,215.98,2.82
584,224.72,3.02
585,291.31,3.04
586,269.33,2.83
587,463.47,4.81
588,246.29,3.31
589,256.17,3.53
590,234.56,2.38
591,216.10,3.10
592,417.50,4.14
593,422.22,4.32
594,418.17,4.05
595,373.37,4.24
596,449.93,4.47
597,433.01,4.50
598,478.74,4.97
599,449.98,4.60
600,433.24,4.22
601,377.18,4.15
602,87.11,1.54
603,112.48,1.78
604,395.63,4.66
605,463.47,4.72
606,459.68,4.68
607,477.66,5.12
