id,distance-km,time-hr
1,NaN,NaN
2,209.76,2.06
3,377.60,3.57
4,92.24,1.09
5,110.23,1.22
6,288.46,2.80
7,150.69,1.75
8,88.69,0.98
9,118.09,1.32
10,124.59,1.39
11,302.77,2.93
12,386.80,3.76
13,28.36,0.54
14,87.69,1.26
15,375.43,3.71
16,373.39,3.67
17,395.49,3.93
18,131.06,1.38
19,92.11,1.01
20,113.72,1.35
21,92.66,1.25
22,128.09,1.75
23,108.16,1.27
24,64.00,0.82
25,266.96,2.56
26,291.99,2.81
27,91.98,1.33
28,166.78,1.99
29,401.48,3.98
30,95.92,1.26
31,205.77,2.47
32,60.60,0.82
33,171.41,2.19
34,72.30,0.97
35,158.59,1.93
36,107.37,1.40
37,386.50,3.79
38,271.58,2.57
39,335.37,3.49
40,229.89,3.01
41,279.77,2.94
42,260.61,2.49
43,274.64,2.68
44,396.84,3.90
45,65.66,0.87
46,113.11,1.36
47,346.07,3.33
48,366.62,4.08
49,123.24,1.40
50,149.04,1.98
51,131.18,1.46
52,110.87,1.42
53,130.70,1.54
54,345.14,3.47
55,356.88,3.52
56,139.54,1.76
57,244.30,2.33
58,159.26,1.76
59,385.51,3.65
60,84.88,1.16
61,234.91,2.43
62,153.40,1.83
63,35.52,0.55
64,47.49,0.67
65,103.22,1.38
66,29.19,0.49
67,80.09,1.23
68,61.62,0.92
69,111.31,1.49
70,32.80,0.52
71,321.86,3.11
72,296.27,2.80
73,101.27,1.12
74,188.65,2.36
75,134.86,1.79
76,48.81,0.68
77,93.10,1.19
78,296.86,3.14
79,356.93,3.66
80,343.32,3.70
81,27.18,0.48
82,117.34,1.26
83,60.80,0.88
84,33.91,0.57
85,27.09,0.45
86,145.30,1.74
87,182.55,2.40
88,125.78,1.85
89,65.36,0.88
90,111.88,1.46
91,89.90,0.99
92,172.41,2.23
93,80.11,0.93
94,61.01,0.82
95,382.69,3.66
96,235.88,2.97
97,303.05,3.08
98,137.90,1.90
99,192.33,2.45
100,177.07,2.13
101,49.48,0.65
102,155.69,1.65
103,171.85,1.91
104,98.37,1.11
105,131.43,1.85
106,131.72,1.50
107,155.06,1.85
108,34.89,0.64
109,47.47,0.78
110,99.19,1.44
111,247.60,2.59
112,286.65,2.76
113,71.05,0.87
114,155.68,1.56
115,309.92,3.11
116,258.34,2.65
117,243.41,3.57
118,149.49,1.82
119,148.92,2.10
120,126.46,1.85
121,279.50,3.01
122,156.00,1.95
123,208.77,2.17
124,105.45,1.13
125,144.31,2.05
126,369.44,3.66
127,169.80,2.06
128,91.77,1.21
129,168.83,1.90
130,202.92,2.52
131,203.95,2.54
132,385.89,3.86
133,301.65,2.94
134,204.60,2.09
135,41.90,0.67
136,158.37,1.91
137,105.53,1.29
138,352.99,3.38
139,28.70,0.42
140,149.95,1.85
141,36.34,0.56
142,194.54,2.04
143,139.08,1.71
144,222.94,2.77
145,110.25,1.44
146,43.49,0.67
147,72.66,0.84
148,186.93,2.33
149,75.62,0.88
150,59.97,0.85
151,158.75,1.96
152,117.72,1.54
153,14.60,0.34
154,10.71,0.28
155,100.96,1.13
156,356.16,3.46
157,112.40,1.37
158,156.30,1.97
159,100.47,1.32
160,142.57,1.72
161,267.54,3.62
162,297.42,2.96
163,183.82,2.12
164,314.04,3.01
165,129.15,1.82
166,96.69,1.09
167,144.94,2.05
168,130.31,1.46
169,135.49,1.52
170,221.38,2.14
171,133.42,1.55
172,384.33,3.72
173,183.51,2.47
174,352.80,3.34
175,45.60,0.62
176,141.67,1.90
177,177.10,2.06
178,257.22,2.65
179,173.14,2.05
180,378.79,3.64
181,97.80,1.25
182,338.71,3.23
183,298.78,2.83
184,382.57,3.69
185,20.83,0.51
186,184.13,2.24
187,109.69,1.21
188,78.34,1.06
189,45.92,0.68
190,95.54,1.20
191,111.12,1.21
192,110.98,1.35
193,126.78,1.61
194,54.42,0.72
195,276.50,2.59
196,163.68,2.34
197,248.82,2.62
198,31.56,0.60
199,148.90,1.86
200,385.57,3.70
201,228.31,2.21
202,277.30,2.88
203,96.82,1.35
204,136.02,1.56
205,103.80,1.31
206,238.15,2.33
207,334.06,3.47
208,100.21,1.29
209,176.94,2.27
210,381.49,3.69
211,87.98,1.25
212,123.34,1.46
213,279.90,2.75
214,117.60,1.27
215,119.27,1.48
216,195.91,1.94
217,148.94,1.79
218,103.18,1.13
219,161.74,2.03
220,170.26,2.10
221,268.49,2.55
222,102.53,1.18
223,137.73,1.64
224,23.27,0.44
225,233.81,2.23
226,31.59,0.53
227,146.74,1.61
228,129.31,1.51
229,215.69,2.29
230,355.94,3.55
231,56.44,0.80
232,229.07,2.19
233,155.56,2.02
234,348.69,3.31
235,136.55,2.04
236,280.85,2.93
237,290.73,2.88
238,410.21,4.17
239,110.15,1.40
240,348.06,3.74
241,353.38,3.59
242,45.97,0.62
243,174.63,2.20
244,366.84,3.55
245,85.26,1.00
246,40.96,0.58
247,137.30,2.00
248,158.48,1.65
249,148.78,1.79
250,125.27,1.72
251,128.83,1.71
252,210.31,2.04
253,161.43,1.86
254,129.37,1.61
255,90.78,1.15
256,176.00,1.72
257,123.72,1.41
258,149.69,1.82
259,72.28,0.85
260,167.00,2.19
261,105.72,1.17
262,141.25,1.47
263,19.48,0.41
264,93.41,1.04
265,120.61,1.71
266,64.97,0.79
267,143.68,1.69
268,91.66,1.08
269,227.61,2.20
270,152.96,1.90
271,319.92,3.28
272,270.18,3.97
273,99.11,1.23
274,138.74,1.62
275,347.01,3.68
276,147.52,1.81
277,273.37,2.64
278,184.95,1.90
279,157.34,2.15
280,114.00,1.50
281,118.89,1.51
282,115.97,1.44
283,316.89,3.17
284,160.06,2.04
285,78.07,0.99
286,26.90,0.44
287,37.44,0.60
288,59.83,0.78
289,106.39,1.37
290,106.90,1.25
291,73.50,0.85
292,67.76,0.97
293,205.44,2.14
294,66.69,0.91
295,266.27,2.78
296,154.66,1.91
297,228.88,2.46
298,109.67,1.57
299,359.80,3.40
300,54.70,0.74
301,152.54,1.72
302,309.51,3.39
303,92.17,0.98
304,85.38,1.21
305,270.00,2.85
306,128.77,1.81
307,288.70,3.07
308,147.60,1.52
309,27.39,0.53
310,280.40,3.07
311,107.40,1.34
312,195.13,2.57
313,135.27,1.53
314,45.35,0.61
315,159.33,2.03
316,185.07,2.19
317,138.49,1.93
318,107.24,1.24
319,100.51,1.27
320,170.19,2.20
321,382.32,3.73
322,368.67,3.65
323,146.82,1.63
324,181.33,2.17
325,110.70,1.47
326,120.95,1.40
327,106.26,1.54
328,251.85,2.40
329,170.18,2.00
330,383.03,3.66
331,182.16,2.23
332,32.41,0.53
333,213.19,2.06
334,219.72,2.21
335,267.92,3.83
336,194.11,2.07
337,162.15,2.30
338,137.79,1.54
339,144.09,1.59
340,115.19,1.41
341,236.20,2.44
342,268.55,2.65
343,118.78,1.41
344,42.91,0.74
345,54.89,0.72
346,93.15,1.49
347,121.22,1.69
348,109.16,1.28
349,297.33,2.96
350,261.63,2.86
351,28.18,0.60
352,144.88,1.77
353,111.64,1.46
354,131.67,1.96
355,133.87,1.50
356,116.35,1.30
357,18.67,0.38
358,145.03,1.87
359,263.89,2.64
360,300.91,4.18
361,102.24,1.20
362,75.93,1.04
363,160.92,2.00
364,176.96,2.31
365,96.09,1.33
366,31.71,0.68
367,63.04,0.81
368,22.34,0.44
369,127.21,1.88
370,354.16,3.48
371,64.33,0.86
372,299.16,2.87
373,24.08,0.58
374,220.73,2.23
375,36.79,0.63
376,86.54,0.93
377,252.42,2.55
378,128.71,1.50
379,156.51,1.99
380,199.73,2.01
381,50.02,0.69
382,183.89,2.30
383,212.04,2.88
384,98.38,1.14
385,144.30,1.75
386,172.31,2.17
387,335.61,3.62
388,72.51,0.98
