id,city,population,area,district,latitude,longitude
1,Praha,1308632,496,Praha,50.0874654,14.4212535
2,Brno,380681,230,okres Brno-město,49.1922443,16.6113382
3,Ostrava,289128,214,okres Ostrava-město,49.8349139,18.2820084
4,Plzeň,172441,137,okres Plzeň-město,49.7477415,13.3775249
5,Liberec,104445,106,okres Liberec,50.7702648,15.0583947
6,Olomouc,100523,103,okres Olomouc,49.5940567,17.251143
7,České Budějovice,94014,55,okres České Budějovice,48.9747357,14.474285
8,Ústí nad Labem,92952,93,okres Ústí nad Labem,50.6603327,14.0381357
9,Hradec Králové,92742,105,okres Hradec Králové,50.2094963,15.832719
10,Pardubice,90688,82,okres Pardubice,50.0385812,15.7791356
11,Zlín,74997,102,okres Zlín,49.226766,17.6667415
12,Havířov,71903,32,okres Karviná,49.7801136,18.4368451
13,Kladno,69054,36,okres Kladno,50.1478497,14.1025379
14,Most,66186,86,okres Most,50.5032737,13.636112
15,Opava,56638,90,okres Opava,49.9389004,17.9024174
16,Frýdek-Místek,55931,51,okres Frýdek-Místek,49.685635,18.3483416
17,Karviná,52824,57,okres Karviná,49.8542719,18.5416556
18,Jihlava,50845,87,okres Jihlava,49.396064,15.5903065
19,Teplice,49575,23,okres Teplice,50.6406644,13.8244461
20,Děčín,48809,117,okres Děčín,50.7824196,14.2147221
21,Chomutov,48720,29,okres Chomutov,50.4607421,13.4177224
22,Karlovy Vary,48501,59,okres Karlovy Vary,50.2304694,12.8710769
23,Jablonec nad Nisou,45802,31,okres Jablonec nad Nisou,50.7240899,15.1710958
24,Mladá Boleslav,44489,28,okres Mladá Boleslav,50.4116187,14.9031301
25,Prostějov,43680,39,okres Prostějov,49.4721467,17.1117979
26,Přerov,43186,58,okres Přerov,49.4553775,17.4508621
27,Česká Lípa,37444,66,okres Česká Lípa,50.6865452,14.5372974
28,Třebíč,35691,57,okres Třebíč,49.2151907,15.8816091
29,Třinec,35131,85,okres Frýdek-Místek,49.6779212,18.6711993
30,Tábor,34456,62,okres Tábor,49.4140896,14.6584713
31,Znojmo,33780,65,okres Znojmo,48.8554341,16.0489457
32,Příbram,32642,33,okres Příbram,49.6901444,14.0103663
33,Cheb,31988,96,okres Cheb,50.0793511,12.3703526
34,Kolín,31690,34,okres Kolín,50.0288894,15.2011571
35,Trutnov,30372,103,okres Trutnov,50.5608851,15.9130498
36,Písek,30351,63,okres Písek,49.3089887,14.147769
37,Orlová,28852,24,okres Karviná,49.8459427,18.4309274
